環保署測站名稱,對應最近氣象局測站名稱,距離(km)
二林,二林,4.19
三重,三重,1.83
三義,三義,2.66
土城,土城,1.23
士林,科教館,1.01
大同,三重,1.44
大里,大里,2.54
大園,觀音,6.13
大寮,鳳森,4.05
小港,鳳森,6.09
中山,三重,2.67
中壢,中壢,4.42
仁武,仁武,2.04
斗六,斗六,1.04
冬山,冬山,0.19
古亭,永和,2.4
左營,左營,0.82
平鎮,中壢,5.96
永和,永和,1.04
安南,臺南市北區,4.82
朴子,朴子,3.5
汐止,汐止,1.66
竹山,竹山,1.23
竹東,飛鳳山,4.19
西屯,西屯,3.13
沙鹿,梧棲,5.71
宜蘭,員山,2.45
忠明,南屯,1.69
松山,信義,1.95
板橋,中和,4.1
林口,林口,0.68
林園,東港,3.53
花蓮,吉安光華,4.5
金門,金寧,3.3
前金,新興,1.24
前鎮,新興,2.6
南投,南投,0.27
屏東,屏東,1.55
恆春,墾丁,2.4
美濃,美濃,2.05
苗栗,苗栗,0.45
埔里,埔里,1.62
桃園,桃園,0.42
馬公,西嶼,10.0
馬祖,東莒,21.85
基隆,八斗子,3.63
崙背,崙背,3.05
淡水,關渡,3.99
麥寮,崙背,6.84
善化,善化,0.25
復興,苓雅,2.47
湖口,湖口,0.72
菜寮,蘆洲,2.14
陽明,大屯山,1.06
新竹,新竹市東區,1.69
新店,文山,4.74
新莊,新莊,2.08
新港,新港,0.18
新營,新營,0.56
楠梓,大社,1.92
萬里,大武崙,2.25
萬華,三重,1.41
嘉義,嘉義市東區,2.09
彰化,花壇,3.84
臺西,臺西,1.85
臺東,檳榔四格山,7.38
臺南,臺南市南區,2.97
鳳山,鳳山,2.14
潮州,潮州,2.51
線西,伸港,2.47
橋頭,橋頭,0.03
頭份,竹南,1.65
龍潭,龍潭,0.85
豐原,豐原,2.15
關山,關山,1.48
觀音,觀音工業區,4.58
富貴角,白沙灣,2.36
