地方環保局測站名稱,對應最近氣象局測站名稱,距離(km)
臺北大安,松山,1.37
臺北大直,科教館,3.24
臺北中正,三重,2.84
臺北內湖,內湖,1.95
臺北木柵,文山,1.66
臺北信義,信義,0.76
臺北南港,國三N016K,2.71
臺北天母,天母,1.65
臺北延平,三重,2.27
臺北向陽,國三N016K,3.1
臺北承德,科教館,0.55
臺北中北,三重,2.3
新北三峽,三峽,1.38
桃園新興,中壢,3.48
桃園觀音,觀音工業區,1.36
桃園華亞,國一N039K,1.89
桃園內壢,中壢,1.11
臺中后里,后里,1.54
臺中太平,大坑,3.79
臺中大甲,大甲,2.56
臺中霧峰,大里,3.91
臺中烏日,烏日,2.73
臺中文山,大肚,2.99
臺中大里,大里,1.56
雲林虎尾,虎尾,1.18
臺南楠西,楠西,0.15
臺南城西,安南,4.83
高雄成功,新興,4.62
高雄鳳陽,鳳森,2.92
高雄鳳山水庫,鳳森,0.4
高雄大林蒲,鳳森,5.19
高雄愛國,三民,0.25
花蓮鳳林,光復,3.65
屏東鹽洲,東港,1.87
